ID,aorkey,CTP_NAME,RA_hms,Dec_dms,z,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag,EQW6p2,w1_w2,Notes
1,3756800,NGC7714,23:36:14.092,+02:09:18.518,0.00933,9741.47,293.51,Ext.,10859.77,351.16,Ext.,7846.16,247.35,Ext.,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,1.024,0.38,AGN?
2,3758080,NGC1097,02:46:19.098,-30:16:27.664,0.00424,76828.31,2322.1,Ext.,122960.04,3706.27,Ext.,132490.04,3981.52,Ext.,66667.01,2004.41,Ext.,28547.82,861.78,Ext.,9746.59,299.05,Ext.,0.585,0.33,SF
3,3856128,NGC1808,05:07:42.182,-37:30:44.962,0.00332,132596.84,3943.52,Ext.,165345.79,4863.89,Ext.,144007.39,4322.35,Ext.,58112.6,1746.66,Ext.,22945.77,693.47,Ext.,7141.51,220.95,Ext.,1.015,0.404,SF
4,4340480,He2-10,08:36:15.220,-26:24:33.699,0.00291,24455.75,734.81,Ext.,25054.55,755.45,Ext.,18442.76,556.46,Ext.,6072.96,185.17,Ext.,2538.51,80.86,Ext.,872.16,36.01,Ext.,1.411,0.422,AGN?
5,4344576,Mkn331,23:51:26.704,+20:35:10.467,0.01848,20726.44,372.34,P.S,22639.5,509.78,P.S,16445.94,268.48,P.S,6168.0,66.2,P.S,2340.4,47.7,P.S,746.1,26.7,P.S,0.965,0.467,AGN?
6,4830976,NGC1140,02:54:33.520,-10:01:40.319,0.00501,3638.25,125.37,Ext.,4622.39,153.62,Ext.,3610.76,113.8,Ext.,1681.69,57.34,Ext.,920.21,39.69,Ext.,310.3,20.87,Ext.,0.977,0.178,AGN?
7,4934400,NGC2993,09:45:48.311,-14:22:04.883,0.00811,11814.1,358.48,Ext.,13957.96,423.3,Ext.,9845.92,298.6,Ext.,3591.23,110.12,Ext.,1463.15,48.61,Ext.,485.84,22.89,Ext.,1.466,0.435,SF
8,9071872,NGC1222,03:08:56.767,-02:57:18.819,0.00808,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,3263.17,99.99,Ext.,1291.47,44.07,Ext.,416.2,21.5,P.S,1.01,0.393,AGN?
9,9072128,IC342,03:46:48.359,+68:05:47.827,0.0001,413171.63,12453.92,Ext.,844468.61,25376.43,Ext.,1082509.83,32486.58,Ext.,563003.54,16903.49,Ext.,246628.98,7417.37,Ext.,91687.38,2770.32,Ext.,1.171,0.496,AGN?
10,9073152,NGC4676,12:46:10.082,+30:43:56.211,0.02206,0.0,0.0,N/A,3678.14,121.51,Ext.,3735.29,123.46,Ext.,1800.97,60.64,Ext.,838.65,33.64,Ext.,291.5,18.62,Ext.,1.183,0.241,AGN?
11,10508288,UGC02238,02:46:17.472,+13:05:44.511,0.02188,9026.45,271.59,Ext.,14416.78,439.79,Ext.,13319.61,405.15,Ext.,5772.4,76.1,P.S,0.0,0.0,N/A,0.0,0.0,N/A,0.937,0.49,AGN?
12,10511616,NGC6285,16:58:24.064,+58:57:21.714,0.01898,1898.6,34.01,P.S,2713.33,114.8,Ext.,2644.67,68.16,P.S,1128.5,27.1,P.S,332.4,35.8,P.S,0.0,0.0,N/A,2.383,0.277,AGN?
13,10512128,Zw453.062,23:04:56.484,+19:33:07.798,0.0251,8204.28,197.44,P.S,9595.42,291.38,Ext.,8253.34,262.95,Ext.,3425.13,111.79,Ext.,1624.45,59.69,Ext.,551.8,27.9,Ext.,0.922,0.403,SF
14,14080768,KUG1429+334,14:31:25.400,+33:13:49.825,0.02254,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,333.9,9.2,P.S,164.0,10.4,P.S,70.7,8.7,P.S,1.759,0.17,SF
15,14081024,KUG1433+353,14:35:18.219,+35:07:08.508,0.02851,0.0,0.0,N/A,5136.31,184.09,Ext.,4538.62,140.36,Ext.,1730.7,21.7,P.S,724.6,20.2,P.S,257.7,13.2,P.S,0.777,0.274,SF
16,14081280,2MASX J14364122+3458239,14:36:41.254,+34:58:23.966,0.03021,0.0,0.0,N/A,771.1,101.35,Ext.,802.92,42.07,Ext.,510.33,22.88,Ext.,248.8,15.1,P.S,116.4,11.3,P.S,1.186,0.144,SF
17,14081536,MCG+06-32-058,14:31:56.217,+33:38:32.993,0.03373,0.0,0.0,N/A,1780.73,147.36,Ext.,2238.11,75.17,Ext.,1246.48,41.23,Ext.,597.21,24.92,Ext.,230.54,20.03,Ext.,0.844,0.142,AGN?
18,14081792,WISEAJ143119.77+353417.3,14:31:19.790,+35:34:17.945,0.03467,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,285.0,9.6,P.S,105.8,9.8,P.S,37.6,6.6,P.S,2.628,0.206,SF
19,14082048,MCG+06-32-056,14:31:21.149,+35:37:21.815,0.03484,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,1223.4,14.9,P.S,529.6,15.7,P.S,187.2,14.5,P.S,1.909,0.334,SF
20,14083840,WISEAJ143228.32+345838.5,14:32:28.348,+34:58:39.086,0.1312,0.0,0.0,N/A,141.14,11.9,P.S,226.06,40.7,P.S,138.7,14.3,P.S,80.1,13.2,P.S,46.2,8.0,P.S,1.144,0.357,AGN?
21,14126592,WISEAJ172220.26+590949.7,17:22:20.251,+59:09:49.787,0.17862,0.0,0.0,N/A,274.22,15.69,P.S,310.14,54.98,P.S,170.1,11.7,P.S,106.6,14.3,P.S,40.6,9.5,P.S,1.152,0.504,AGN?
22,14127616,WISEA J171542.02+591657.5,17:15:41.931,+59:16:57.883,0.11578,0.0,0.0,N/A,424.6,21.71,P.S,388.0,42.83,P.S,145.0,8.2,P.S,69.7,8.1,P.S,28.8,6.6,P.S,1.024,0.47,AGN?
23,14132480,WISEAJ142819.47+335150.0,14:28:19.545,+33:51:49.996,0.48882,0.0,0.0,N/A,42.91,9.57,P.S,0.0,0.0,N/A,81.0,7.5,P.S,55.6,7.9,P.S,,,Ext.,2.121,0.364,SF
24,14132736,WISEA J142919.74+341505.9,14:29:19.761,+34:15:06.070,0.424,0.0,0.0,N/A,0.0,0.0,N/A,85.44,27.79,P.S,50.3,5.2,P.S,18.4,5.5,P.S,-101.0,-101.0,Ext.,1.127,0.482,AGN?
25,14835968,MCG-03-04-014,01:10:08.960,-16:51:09.154,0.03514,8367.15,166.77,P.S,10251.75,208.7,P.S,8405.31,131.48,P.S,3233.3,34.3,P.S,1228.4,26.7,P.S,399.5,17.6,P.S,1.267,0.425,SF
26,14836480,NGC0695,01:51:14.247,+22:34:55.773,0.03247,9256.07,281.05,Ext.,13383.34,412.76,Ext.,11048.89,338.09,Ext.,4165.31,127.38,Ext.,1655.57,53.45,Ext.,599.4,42.8,P.S,0.73,0.43,SF
27,14837504,NGC2342a,07:09:18.067,+20:38:09.729,0.0176,9371.64,266.45,Ext.,13741.39,419.49,Ext.,13445.16,415.99,Ext.,5480.94,166.42,Ext.,2248.34,70.23,Ext.,690.32,27.97,Ext.,1.157,0.287,SF
28,14838272,NGC3110,10:04:02.095,-06:28:29.088,0.01686,13558.34,382.03,Ext.,19229.21,577.94,Ext.,18330.77,553.27,Ext.,7091.48,214.26,Ext.,2915.1,97.42,Ext.,920.96,34.82,Ext.,1.345,0.374,SF
29,14839040,IC2810,11:25:45.070,+14:40:35.590,0.03417,5460.93,96.62,P.S,7033.01,165.66,P.S,5884.24,130.56,P.S,2645.0,36.0,P.S,0.0,0.0,N/A,0.0,0.0,N/A,1.017,0.424,SF
30,14839552,Mkn1490,14:19:43.282,+49:14:11.688,0.02574,7247.4,112.76,P.S,8145.78,157.63,P.S,5555.98,89.2,P.S,2487.0,30.2,P.S,0.0,0.0,N/A,0.0,0.0,N/A,1.024,0.471,AGN?
31,14840320,NGC6090,16:11:40.789,+52:27:26.191,0.03023,6989.24,115.03,P.S,7875.39,182.89,P.S,6629.73,115.57,P.S,3056.0,34.2,P.S,1482.4,32.8,P.S,0.0,0.0,N/A,1.325,0.487,AGN?
32,14840832,NGC6286b/6285,16:58:23.998,+58:57:21.852,0.01898,1988.94,76.01,Ext.,2756.2,184.6,Ext.,2644.67,68.16,P.S,1128.5,27.1,P.S,332.4,35.8,P.S,,,Ext.,1.73,0.277,AGN?
33,14841088,NGC6286,16:58:31.494,+58:56:12.624,0.01835,9801.34,296.11,Ext.,17933.23,545.74,Ext.,19132.78,576.62,Ext.,9172.78,298.34,Ext.,3710.49,129.69,Ext.,1289.5,47.0,P.S,0.796,0.479,SF
34,14843136,CGCG052-037,16:30:56.528,+04:04:58.811,0.02449,8195.54,129.34,P.S,10536.99,227.09,P.S,9231.61,153.4,P.S,3713.6,39.9,P.S,1433.1,42.4,P.S,488.39,23.78,Ext.,1.479,0.418,AGN?
35,15067904,WISEAJ085337.41+004409.9,08:53:37.456,+00:44:09.334,0.04092,0.0,0.0,N/A,1903.1,37.81,P.S,1756.63,47.73,P.S,752.8,16.9,P.S,301.2,22.1,P.S,98.0,18.7,P.S,0.911,0.412,AGN?
36,15069696,2MASXJ09194784+0231435,09:19:47.802,+02:31:43.194,0.08844,0.0,0.0,N/A,662.85,29.16,P.S,747.74,41.47,P.S,322.0,14.0,P.S,139.1,14.8,P.S,53.05,11.54,Ext.,1.021,0.375,AGN?
37,16157696,WISEAJ143820.80+340234.0,14:38:20.720,+34:02:34.015,0.6736,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,272.2,8.6,P.S,156.7,10.4,P.S,53.7,10.6,P.S,0.956,0.164,SF
38,16158208,SDSSJ143151.84+324327.9,14:31:51.808,+32:43:27.715,0.66609,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,155.6,8.6,P.S,89.8,11.8,P.S,39.7,8.9,P.S,0.618,0.256,AGN?
39,16158976,WISEAJ143218.13+341259.6,14:32:18.142,+34:13:00.331,0.97777,0.0,0.0,N/A,71.66,8.8,P.S,145.41,16.76,Ext.,96.7,6.5,P.S,53.7,14.5,P.S,0.0,0.0,N/A,1.074,0.246,SF
40,17470464,WISEA J161516.73+553046.6,16:15:16.758,+55:30:46.774,0.08328,0.0,0.0,N/A,423.44,13.04,P.S,379.0,34.67,P.S,168.9,8.5,P.S,64.2,9.8,P.S,0.0,0.0,N/A,2.17,0.367,SF
41,17470720,WISEAJ161645.38+550230.9,16:16:45.256,+55:02:30.760,0.08328,0.0,0.0,N/A,615.08,13.75,P.S,662.86,35.63,P.S,353.7,10.9,P.S,160.4,12.5,P.S,63.4,8.7,P.S,2.2,0.29,SF
42,17470976,WISEAJ161402.61+533036.5,16:14:02.618,+53:30:36.749,0.06343,0.0,0.0,N/A,579.76,13.07,P.S,697.71,44.93,P.S,359.1,8.9,P.S,153.1,10.8,P.S,64.1,13.2,P.S,1.311,0.22,SF
43,17538560,WISEAJ143631.97+335230.7,14:36:32.000,+33:52:30.549,0.0866,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,169.4,10.8,P.S,68.9,11.3,P.S,32.8,8.2,P.S,1.095,,SF
44,17538816,WISEAJ143126.75+344517.3,14:31:26.733,+34:45:17.331,0.08275,0.0,0.0,N/A,204.74,11.41,P.S,161.89,32.35,P.S,84.5,9.3,P.S,30.2,7.3,P.S,-1.58,3.08,Ext.,1.611,0.265,SF
45,17863936,WISEAJ000024.24-525031.0,00:00:24.228,-52:50:30.949,0.12495,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,888.0,17.7,P.S,395.0,15.1,P.S,145.2,16.4,P.S,0.898,0.333,AGN?
46,18600448,WISEAJ083202.58+524714.2,08:32:02.435,+52:47:13.841,0.05865,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,169.8,7.0,P.S,95.9,9.1,P.S,48.1,7.3,P.S,1.098,0.12,SF
47,20310016,NGC5936,15:30:00.839,+12:59:22.011,0.01336,10442.88,317.26,Ext.,16275.94,498.82,Ext.,14909.87,460.49,Ext.,6072.41,184.19,Ext.,2381.11,74.15,Ext.,744.0,42.7,P.S,1.885,0.336,AGN?
48,20311296,ESO593-IG008,19:14:31.172,-21:19:06.107,0.04864,6848.52,209.49,Ext.,9279.32,281.44,Ext.,7924.85,139.66,P.S,3255.2,40.5,P.S,1151.38,39.82,Ext.,359.98,16.24,Ext.,1.665,0.505,AGN?
49,20313088,MCG-02-01-051,00:18:50.855,-10:22:36.595,0.0271,6848.15,145.69,P.S,7148.31,200.22,P.S,5336.09,143.11,P.S,1818.5,100.6,P.S,692.9,99.9,P.S,245.5,42.1,P.S,1.403,0.465,AGN?
50,20316160,IRAS05442+1732,05:47:11.153,+17:33:46.792,0.01862,10615.53,177.66,P.S,11005.06,243.28,P.S,7636.94,126.75,P.S,2574.2,36.6,P.S,930.4,31.6,P.S,322.7,35.9,P.S,1.986,0.479,AGN?
51,20320768,ESO467-G027,22:14:39.880,-27:27:50.959,0.0174,6386.05,194.64,Ext.,10985.9,334.99,Ext.,11159.27,339.08,Ext.,4903.65,149.87,Ext.,1974.93,62.95,Ext.,759.67,31.32,Ext.,0.603,0.268,SF
52,20323584,ESO286-G035,21:04:11.111,-43:35:34.685,0.01736,8208.41,205.18,P.S,10617.41,323.45,Ext.,9460.71,178.91,P.S,3752.2,61.7,P.S,1356.36,46.17,Ext.,0.0,0.0,N/A,1.017,0.418,AGN?
53,20326656,ESO507-G070,13:02:52.390,-23:55:18.139,0.0217,16344.42,233.21,P.S,16738.41,308.17,P.S,10419.19,152.23,P.S,3802.7,46.5,P.S,1425.6,30.7,P.S,475.1,24.1,P.S,1.035,0.46,AGN?
54,20327168,UGC11041,17:54:51.943,+34:46:34.208,0.01628,6783.22,204.97,Ext.,10996.73,338.7,Ext.,10744.17,327.98,Ext.,4486.81,136.89,Ext.,1889.56,60.18,Ext.,669.4,27.1,P.S,1.028,0.33,SF
